Label,EmailText
ham,Can you send me the report by evening? urgent
ham,Did you finish the project presentation? reply
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. ok
ham,Meeting got postponed to next week. ok
ham,"Hey, are we meeting later today? pls"
ham,Please find the attached document for your review. pls
ham,Don't forget to buy groceries on your way home. 
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! !!!"
ham,See you at the gym later! !!!
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
ham,See you at the gym later! pls
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. call"
ham,Let's have lunch tomorrow at 1 pm. reply
ham,I'll reach office by 10am. pls
ham,Let's have lunch tomorrow at 1 pm. pls
ham,See you at the gym later! pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. ok"
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. ok"
ham,Meeting got postponed to next week. urgent
ham,Please find the attached document for your review. call
ham,Can you send me the report by evening? ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
ham,Don't forget to buy groceries on your way home. call
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. reply
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Please find the attached document for your review. !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. !!!
spam,WINNER!! As a valued customer you have been selected for a £900 reward! pls
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. ok
ham,Meeting got postponed to next week. call
ham,Don't forget to buy groceries on your way home. call
ham,Call me when you are free. reply
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,Don't forget to buy groceries on your way home. !!!
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. !!!"
ham,See you at the gym later! ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. now
ham,Please find the attached document for your review. !!!
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
ham,Call me when you are free. ok
ham,Let's have lunch tomorrow at 1 pm. now
ham,Call me when you are free. call
ham,Did you finish the project presentation? pls
spam,"You have won a lottery of $10,000! Send your details immediately to claim. "
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
ham,See you at the gym later! call
ham,Meeting got postponed to next week. pls
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. 
ham,Did you finish the project presentation? now
ham,"Hey, are we meeting later today? ok"
ham,I'll reach office by 10am. !!!
ham,Did you finish the project presentation? 
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! pls"
ham,Did you finish the project presentation? ok
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. reply
ham,See you at the gym later! reply
ham,Please find the attached document for your review. call
ham,"Hey, are we meeting later today? pls"
ham,Can you send me the report by evening? 
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
ham,Call me when you are free. call
ham,Don't forget to buy groceries on your way home. ok
